Grupo	Funcion	Nivel_ponderado_pct
Guipuzcoa	SCFA and alcohol conversions: acetate, pt 2	0
Guipuzcoa	SCFA and alcohol conversions: acetate, pt 3	0
Guipuzcoa	SCFA and alcohol conversions: lactate D	71.4
Guipuzcoa	SCFA and alcohol conversions: lactate L	65.9
Guipuzcoa	SCFA and alcohol conversions: pyruvate => acetyl CoA v1	59.3
Guipuzcoa	SCFA and alcohol conversions: pyruvate => acetyl CoA v2	1.1
Guipuzcoa	SCFA and alcohol conversions: pyruvate => acetylCoA f+ formate v3	40.7
Guipuzcoa	Sulfur metabolism: Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	0
Guipuzcoa	Sulfur metabolism: dissimilatory sulfate reduction (and oxidation) sulfate => sulfide	0
Guipuzcoa	Sulfur metabolism: tetrathionate => thiosulfate	0
Guipuzcoa	Sulfur metabolism: thiosulfate => sulfite	0
Vizcaya	Methanogenesis and methanotrophy: Key functional gene	0
Vizcaya	Methanogenesis and methanotrophy: acetate => methane, pt 1	3.4
Vizcaya	Methanogenesis and methanotrophy: acetate => methane, pt 2	100
Vizcaya	Methanogenesis and methanotrophy: acetate => methane, pt 3	8.5
Vizcaya	Methanogenesis and methanotrophy: dimethylamine => monomethylamine	0
Vizcaya	Methanogenesis and methanotrophy: methane => methanol, with oxygen (mmo)	0
Vizcaya	Methanogenesis and methanotrophy: methane => methanol, with oxygen (pmo)	0
Vizcaya	Methanogenesis and methanotrophy: methanol => methane	0
Vizcaya	Methanogenesis and methanotrophy: monomethylamine => ammonia	0
Vizcaya	Methanogenesis and methanotrophy: putative but not defining CO2 => methane	0
Vizcaya	Methanogenesis and methanotrophy: trimethylamine => dimethylamine	0
Vizcaya	Nitrogen metabolism: Bacterial (aerobic-specific) ammonia oxidation	0
Vizcaya	Nitrogen metabolism: Bacterial (anaerobic-specific) ammonia oxidation	0
Vizcaya	Nitrogen metabolism: Bacterial/Archaeal ammonia oxidation	0
Vizcaya	Nitrogen metabolism: Dissimilatory nitrite reduction to ammonia (DNRA)	0
Vizcaya	Nitrogen metabolism: Nitrogen fixation altennative	0
Vizcaya	Nitrogen metabolism: ammonia => nitrite	0
Vizcaya	Nitrogen metabolism: nitrate => nitrite	39
Vizcaya	Nitrogen metabolism: nitric oxide => nitrous oxide	0
Vizcaya	Nitrogen metabolism: nitrite => nitric oxide	35.6
Vizcaya	Nitrogen metabolism: nitrite=> nitrate	39
Vizcaya	Nitrogen metabolism: nitrogen => ammonia	0
Vizcaya	Nitrogen metabolism: nitrous oxide => nitrogen	0
Vizcaya	Other Reductases: TMAO reductase	0
Vizcaya	Other Reductases: arsenate reduction, pt 1	39
Vizcaya	Other Reductases: arsenate reduction, pt 2	0
Vizcaya	Other Reductases: mercury reduction	0
Vizcaya	Other Reductases: selenate/Chlorate reduction	0
Vizcaya	Photosynthesis: Photosystem I	0
Vizcaya	Photosynthesis: Photosystem II	0
Vizcaya	SCFA and alcohol conversions: Alcohol production	81.4
Vizcaya	SCFA and alcohol conversions: Butyrate, pt 1	0
Vizcaya	SCFA and alcohol conversions: Butyrate, pt 2	0
Vizcaya	SCFA and alcohol conversions: Propionate, pt 1	0
Vizcaya	SCFA and alcohol conversions: Propionate, pt 2	0
Vizcaya	SCFA and alcohol conversions: acetate, pt 1	100
Vizcaya	SCFA and alcohol conversions: acetate, pt 2	0
Vizcaya	SCFA and alcohol conversions: acetate, pt 3	0
Vizcaya	SCFA and alcohol conversions: lactate D	84.7
Vizcaya	SCFA and alcohol conversions: lactate L	59.3
Vizcaya	SCFA and alcohol conversions: pyruvate => acetyl CoA v1	71.2
Vizcaya	SCFA and alcohol conversions: pyruvate => acetyl CoA v2	0
Vizcaya	SCFA and alcohol conversions: pyruvate => acetylCoA f+ formate v3	45.8
Vizcaya	Sulfur metabolism: Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	0
Vizcaya	Sulfur metabolism: dissimilatory sulfate reduction (and oxidation) sulfate => sulfide	0
Vizcaya	Sulfur metabolism: tetrathionate => thiosulfate	0
Vizcaya	Sulfur metabolism: thiosulfate => sulfite	0
