Grupo	Funcion	Nivel_ponderado_pct
Natural	SCFA and alcohol conversions: pyruvate => acetyl CoA v1	64
Natural	SCFA and alcohol conversions: pyruvate => acetyl CoA v2	1.2
Natural	SCFA and alcohol conversions: pyruvate => acetylCoA f+ formate v3	45.3
Natural	Sulfur metabolism: Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	0
Natural	Sulfur metabolism: dissimilatory sulfate reduction (and oxidation) sulfate => sulfide	0
Natural	Sulfur metabolism: tetrathionate => thiosulfate	0
Natural	Sulfur metabolism: thiosulfate => sulfite	0
Urbano	Methanogenesis and methanotrophy: Key functional gene	0
Urbano	Methanogenesis and methanotrophy: acetate => methane, pt 1	4.7
Urbano	Methanogenesis and methanotrophy: acetate => methane, pt 2	100
Urbano	Methanogenesis and methanotrophy: acetate => methane, pt 3	6.2
Urbano	Methanogenesis and methanotrophy: dimethylamine => monomethylamine	0
Urbano	Methanogenesis and methanotrophy: methane => methanol, with oxygen (mmo)	0
Urbano	Methanogenesis and methanotrophy: methane => methanol, with oxygen (pmo)	0
Urbano	Methanogenesis and methanotrophy: methanol => methane	0
Urbano	Methanogenesis and methanotrophy: monomethylamine => ammonia	0
Urbano	Methanogenesis and methanotrophy: putative but not defining CO2 => methane	0
Urbano	Methanogenesis and methanotrophy: trimethylamine => dimethylamine	0
Urbano	Nitrogen metabolism: Bacterial (aerobic-specific) ammonia oxidation	0
Urbano	Nitrogen metabolism: Bacterial (anaerobic-specific) ammonia oxidation	0
Urbano	Nitrogen metabolism: Bacterial/Archaeal ammonia oxidation	0
Urbano	Nitrogen metabolism: Dissimilatory nitrite reduction to ammonia (DNRA)	0
Urbano	Nitrogen metabolism: Nitrogen fixation altennative	0
Urbano	Nitrogen metabolism: ammonia => nitrite	0
Urbano	Nitrogen metabolism: nitrate => nitrite	39.1
Urbano	Nitrogen metabolism: nitric oxide => nitrous oxide	0
Urbano	Nitrogen metabolism: nitrite => nitric oxide	34.4
Urbano	Nitrogen metabolism: nitrite=> nitrate	37.5
Urbano	Nitrogen metabolism: nitrogen => ammonia	0
Urbano	Nitrogen metabolism: nitrous oxide => nitrogen	0
Urbano	Other Reductases: TMAO reductase	0
Urbano	Other Reductases: arsenate reduction, pt 1	37.5
Urbano	Other Reductases: arsenate reduction, pt 2	0
Urbano	Other Reductases: mercury reduction	0
Urbano	Other Reductases: selenate/Chlorate reduction	0
Urbano	Photosynthesis: Photosystem I	0
Urbano	Photosynthesis: Photosystem II	0
Urbano	SCFA and alcohol conversions: Alcohol production	79.7
Urbano	SCFA and alcohol conversions: Butyrate, pt 1	0
Urbano	SCFA and alcohol conversions: Butyrate, pt 2	0
Urbano	SCFA and alcohol conversions: Propionate, pt 1	0
Urbano	SCFA and alcohol conversions: Propionate, pt 2	0
Urbano	SCFA and alcohol conversions: acetate, pt 1	100
Urbano	SCFA and alcohol conversions: acetate, pt 2	0
Urbano	SCFA and alcohol conversions: acetate, pt 3	0
Urbano	SCFA and alcohol conversions: lactate D	78.1
Urbano	SCFA and alcohol conversions: lactate L	56.2
Urbano	SCFA and alcohol conversions: pyruvate => acetyl CoA v1	68.8
Urbano	SCFA and alcohol conversions: pyruvate => acetyl CoA v2	0
Urbano	SCFA and alcohol conversions: pyruvate => acetylCoA f+ formate v3	48.4
Urbano	Sulfur metabolism: Thiosulfate oxidation by SOX complex, thiosulfate => sulfate	0
Urbano	Sulfur metabolism: dissimilatory sulfate reduction (and oxidation) sulfate => sulfide	0
Urbano	Sulfur metabolism: tetrathionate => thiosulfate	0
Urbano	Sulfur metabolism: thiosulfate => sulfite	0
