Code,Species,Interaction,Year,Date,Locality,Habitat,Provincias,Latitude,Longitud,Altitude (m),Collectors (leg.),sex,Intertegular_distance (mm),Est.Weight,CI_Lower,CI_Upper
GAS240910,Bombus pascuorum,Salvia officinalis,2024,28/05/2024,"Abetxuko, Vitoria-Gasteiz",Urbano,Araba,42.874.684,-26.845.993,506.392,LC; ET,Female,3.61,49.70651713621549,27.729974461198463,86.84184377621459
GAS240911,Bombus pascuorum,Salvia officinalis,2024,28/05/2024,"Abetxuko, Vitoria-Gasteiz",Urbano,Araba,42.874.684,-26.845.993,506.392,LC; ET,Female,3.76,54.31466771376321,30.91802227750282,93.89471618075217
GAS240912,Bombus pascuorum,Salvia officinalis,2024,28/05/2024,"Abetxuko, Vitoria-Gasteiz",Urbano,Araba,42.874.684,-26.845.993,506.392,LC; ET,Female,3.51,46.63765389512898,26.69498798250122,80.87210053929726
GAS240913,Bombus pascuorum,Salvia officinalis,2024,28/05/2024,"Abetxuko, Vitoria-Gasteiz",Urbano,Araba,42.874.684,-26.845.993,506.392,LC; ET,Female,3.65,50.63183148764156,29.054360054302222,88.13220716060893
ZEB240707,Bombus pascuorum,Rubus sp.,2024,29/05/2024,"Isasi Auzoa, Zeberio",Agrícola,Bizkaia,431.445.058,-2.823.972,188.333,AM; LC; ET,Female,5.55,129.29670369395035,73.97741601054683,227.3220029250558
ZEB240708,Bombus pascuorum,Rubus sp.,2024,29/05/2024,"Isasi Auzoa, Zeberio",Agrícola,Bizkaia,431.445.058,-2.823.972,188.333,AM; LC; ET,Female,4.11,65.5957006703451,37.75671937597945,114.59440620922709
ZEB240709,Bombus pascuorum,Rubus sp.,2024,29/05/2024,"Isasi Auzoa, Zeberio",Agrícola,Bizkaia,431.445.058,-2.823.972,188.333,AM; LC; ET,Female,2.9,30.412699041468517,17.476609499546182,53.756995647065864
ZEB240710,Bombus pascuorum,Scrophularia auriculata,2024,29/05/2024,"Isasi Auzoa, Zeberio",Agrícola,Bizkaia,431.445.058,-2.823.972,188.333,AM; LC; ET,Female,3.93,59.65904371928482,33.83859916722261,103.63195247347858
ZEB240711,Bombus pascuorum,Geranium sp.,2024,29/05/2024,"Isasi Auzoa, Zeberio",Agrícola,Bizkaia,431.445.058,-2.823.972,188.333,AM; LC; ET,Female,3.51,46.50093609092864,26.515897127786676,81.00486859018069
ZEB240712,Bombus pascuorum,Geranium sp.,2024,29/05/2024,"Isasi Auzoa, Zeberio",Agrícola,Bizkaia,431.445.058,-2.823.972,188.333,AM; LC; ET,Female,3.58,48.67667970157874,26.973653594509823,86.14941479658984
