Code;Species;Interaction;Year;Date;Locality;Habitat;Provincias;Latitude;Longitud;Altitude (m);Collectors (leg.);sex;Intertegular_distance (mm)
ZEB240710;Bombus pascuorum;Scrophularia auriculata;2024;29/05/2024;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"AM; LC; ET";Female;3.93
ZEB240711;Bombus pascuorum;Geranium sp.;2024;29/05/2024;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"AM; LC; ET";Female;3.51
ZEB240712;Bombus pascuorum;Geranium sp.;2024;29/05/2024;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"AM; LC; ET";Female;3.58
ZEB240713;Bombus pascuorum;Scrophularia auriculata;2024;29/05/2024;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"AM; LC; ET";Female;4.06
ZEB240716;Bombus pascuorum;Scrophularia auriculata;2024;29/05/2024;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"AM; LC; ET";Female;3.41
ZEB240717;Bombus pascuorum;Rubus sp.;2024;29/05/2024;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"AM; LC; ET";Female;3.92
ZEB240720;Bombus pascuorum;Rubus sp.;2024;29/05/2024;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"AM; LC; ET";Female;2.8
ZEB240723;Bombus pascuorum;Scrophularia auriculata;2024;29/05/2024;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"AM; LC; ET";Female;3.03
BIL240801;Bombus pascuorum;Stachys sylvatica;2024;29/05/2024;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;432.697.136;-29.168.994;117.245;"LC; ET";Female;3.85
BIL240804;Bombus pascuorum;Stachys sylvatica;2024;29/05/2024;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;432.697.136;-29.168.994;117.245;"LC; ET";Female;3.13
BIL240811;Bombus pascuorum;Stachys sylvatica;2024;29/05/2024;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;432.697.136;-29.168.994;117.245;"LC; ET";Female;4.1
BIL240815;Bombus pascuorum;Stachys sylvatica;2024;29/05/2024;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;432.697.136;-29.168.994;117.245;"LC; ET";Female;3.89
BIL240816;Bombus pascuorum;Stachys sylvatica;2024;29/05/2024;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;432.697.136;-29.168.994;117.245;"LC; ET";Female;4.17
BIL240817;Bombus pascuorum;Stachys sylvatica;2024;29/05/2024;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;432.697.136;-29.168.994;117.245;"LC; ET";Female;3.36
BIL240818;Bombus pascuorum;Stachys sylvatica;2024;29/05/2024;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;432.697.136;-29.168.994;117.245;"LC; ET";Male;4.67
BIL240819;Bombus pascuorum;Stachys sylvatica;2024;06/06/2024;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;432.697.136;-29.168.994;117.245;LC;Female;2.51
BIL240820;Bombus pascuorum;Stachys sylvatica;2024;06/06/2024;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;432.697.136;-29.168.994;117.245;LC;Female;4.56
BIL240821;Bombus pascuorum;Stachys sylvatica;2024;06/06/2024;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;432.697.136;-29.168.994;117.245;LC;Female;3.58
DON240901;Bombus pascuorum;Trifolium pratense;2024;31/05/2024;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43.305.699;-1.948.854;59.33;JR;Female;3.52
DON240902;Bombus pascuorum;Trifolium pratense;2024;31/05/2024;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43.305.699;-1.948.854;59.33;JR;Female;3.98
DON240903;Bombus pascuorum;Trifolium pratense;2024;31/05/2024;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43.305.699;-1.948.854;59.33;JR;Female;3.73
DON240904;Bombus pascuorum;Trifolium pratense;2024;31/05/2024;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43.305.699;-1.948.854;59.33;JR;Female;4.03
DON240905;Bombus pascuorum;Trifolium pratense;2024;31/05/2024;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43.305.699;-1.948.854;59.33;JR;Female;3.83
DON240906;Bombus pascuorum;Trifolium pratense;2024;31/05/2024;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43.305.699;-1.948.854;59.33;JR;Female;3.75
DON240907;Bombus pascuorum;Trifolium repens;2024;31/05/2024;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43.305.699;-1.948.854;59.33;JR;Female;3.5
DON240908;Bombus pascuorum;Trifolium repens;2024;31/05/2024;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43.305.699;-1.948.854;59.33;JR;Female;3.33
DON240909;Bombus pascuorum;Trifolium repens;2024;31/05/2024;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43.305.699;-1.948.854;59.33;JR;Female;2.9
DON240910;Bombus pascuorum;Ligustrum sp. ;2024;31/05/2024;Ametzagaina parkea, Donostia;Urbano;Gipuzkoa;43.305.699;-1.948.854;59.33;JR;Female;3.6
ART241001;Bombus pascuorum;Trifolium repens;2024;05/06/2024;Artikutza;Natural;Navarra;432.380.388;-18.036.209;6.405.127.266;"JP;LC";Female;3.12
ART241002;Bombus pascuorum;Trifolium repens;2024;05/06/2024;Artikutza;Natural;Navarra;432.380.388;-18.036.209;6.405.127.266;"JP;LC";Female;3.78
ART241003;Bombus pascuorum;Trifolium repens;2024;05/06/2024;Artikutza;Natural;Navarra;432.380.388;-18.036.209;6.405.127.266;"JP;LC";Female;3.4
ART241004;Bombus pascuorum;Trifolium repens;2024;05/06/2024;Artikutza;Natural;Navarra;432.380.388;-18.036.209;6.405.127.266;"JP;LC";Female;3.38
ART241006;Bombus pascuorum;Pilosella sp.;2024;05/06/2024;Artikutza;Natural;Navarra;432.380.388;-18.036.209;6.405.127.266;"JP;LC";Female;5.64
ART241007;Bombus pascuorum;Trifolium repens;2024;05/06/2024;Artikutza;Natural;Navarra;432.380.388;-18.036.209;6.405.127.266;"JP;LC";Female;3.35
ART241010;Bombus pascuorum;Trifolium repens;2024;05/06/2024;Artikutza;Natural;Navarra;432.380.388;-18.036.209;6.405.127.266;"JP;LC";Female;3.85
ART241013;Bombus pascuorum;Ajuga reptans;2024;05/06/2024;Artikutza;Natural;Navarra;432.380.388;-18.036.209;6.405.127.266;"JP;LC";Female;3.74
ART241014;Bombus pascuorum;Ajuga reptans;2024;05/06/2024;Artikutza;Natural;Navarra;432.380.388;-18.036.209;6.405.127.266;"JP;LC";Female;3.95
ART241016;Bombus pascuorum;Trifolium repens;2024;05/06/2024;Artikutza;Natural;Navarra;432.380.388;-18.036.209;6.405.127.266;"JP;LC";Female;3.84
ART241017;Bombus pascuorum;Trifolium repens;2024;05/06/2024;Artikutza;Natural;Navarra;432.380.388;-18.036.209;6.405.127.266;"JP;LC";Female;3.8
ART241018;Bombus pascuorum;;2024;06/06/2024;Artikutza;Natural;Navarra;432.380.388;-18.036.209;6.405.127.266;"JP;LC";Female;3.91
ATZ241101;Bombus pascuorum;Lamium galeobdolon;2024;05/06/2024;Asteazu;Agrícola;Gipuzkoa;432.001.451;-20.989.976;1.761.103.727;"JP;LC";Female;3.59
ATZ241114;Bombus pascuorum;Anthyllis vulneraria;2024;05/06/2024;Asteazu;Agrícola;Gipuzkoa;432.001.451;-20.989.976;1.761.103.727;"JP;LC";Female;3.63
ATZ241115;Bombus pascuorum;Lotus corniculatus;2024;05/06/2024;Asteazu;Agrícola;Gipuzkoa;432.001.451;-20.989.976;1.761.103.727;"JP;LC";Female;3.62
ATZ241116;Bombus pascuorum;Trifolium pratense;2024;05/06/2024;Asteazu;Agrícola;Gipuzkoa;432.001.451;-20.989.976;1.761.103.727;"JP;LC";Female;2.8
