Genome	BPART241001.sorted Relative Abundance (%)	BPART241002.sorted Relative Abundance (%)	BPART241003.sorted Relative Abundance (%)	BPART241004.sorted Relative Abundance (%)	BPART241006.sorted Relative Abundance (%)	BPART241017M.sorted Relative Abundance (%)	BPART251001.sorted Relative Abundance (%)	BPART251002.sorted Relative Abundance (%)	BPART251003.sorted Relative Abundance (%)	BPART251004.sorted Relative Abundance (%)	BPART251005.sorted Relative Abundance (%)	BPATZ241114.sorted Relative Abundance (%)	BPATZ241115.sorted Relative Abundance (%)	BPATZ241116.sorted Relative Abundance (%)	BPATZ241117.sorted Relative Abundance (%)	BPATZ241118.sorted Relative Abundance (%)	BPATZ251101.sorted Relative Abundance (%)	BPATZ251102.sorted Relative Abundance (%)	BPATZ251103.sorted Relative Abundance (%)	BPATZ251104.sorted Relative Abundance (%)	BPATZ251105.sorted Relative Abundance (%)	BPBIL240811M.sorted Relative Abundance (%)	BPBIL240816M.sorted Relative Abundance (%)	BPBIL240817M.sorted Relative Abundance (%)	BPBIL240818M.sorted Relative Abundance (%)	BPBIL240820M.sorted Relative Abundance (%)	BPBIL240821M.sorted Relative Abundance (%)	BPBIL250801.sorted Relative Abundance (%)	BPBIL250802.sorted Relative Abundance (%)	BPBIL250803.sorted Relative Abundance (%)	BPBIL250804.sorted Relative Abundance (%)	BPBIL250805.sorted Relative Abundance (%)	BPDON240901.sorted Relative Abundance (%)	BPDON240902.sorted Relative Abundance (%)	BPDON240903.sorted Relative Abundance (%)	BPDON240904.sorted Relative Abundance (%)	BPDON240905.sorted Relative Abundance (%)	BPDON250901.sorted Relative Abundance (%)	BPDON250902.sorted Relative Abundance (%)	BPDON250903.sorted Relative Abundance (%)	BPDON250904.sorted Relative Abundance (%)	BPDON250905.sorted Relative Abundance (%)	BPGAS240901.sorted Relative Abundance (%)	BPGAS240903.sorted Relative Abundance (%)	BPGAS240904.sorted Relative Abundance (%)	BPGAS240905.sorted Relative Abundance (%)	BPGAS240906.sorted Relative Abundance (%)	BPGAS250901.sorted Relative Abundance (%)	BPGAS250902.sorted Relative Abundance (%)	BPGAS250903.sorted Relative Abundance (%)	BPGAS250904.sorted Relative Abundance (%)	BPGAS250905.sorted Relative Abundance (%)	BPGOR241401M.sorted Relative Abundance (%)	BPGOR241406M.sorted Relative Abundance (%)	BPGOR241407M.sorted Relative Abundance (%)	BPGOR241408M.sorted Relative Abundance (%)	BPGOR241409M.sorted Relative Abundance (%)	BPGOR241410M.sorted Relative Abundance (%)	BPGOR251401.sorted Relative Abundance (%)	BPGOR251402.sorted Relative Abundance (%)	BPGOR251403.sorted Relative Abundance (%)	BPGOR251404.sorted Relative Abundance (%)	BPGOR251405.sorted Relative Abundance (%)	BPKAR240401.sorted Relative Abundance (%)	BPKAR240404.sorted Relative Abundance (%)	BPKAR240405.sorted Relative Abundance (%)	BPKAR240406.sorted Relative Abundance (%)	BPKAR240407.sorted Relative Abundance (%)	BPKAR250401.sorted Relative Abundance (%)	BPKAR250402.sorted Relative Abundance (%)	BPKAR250403.sorted Relative Abundance (%)	BPKAR250405.sorted Relative Abundance (%)	BPKAR250406.sorted Relative Abundance (%)	BPVAL240221.sorted Relative Abundance (%)	BPVAL240222.sorted Relative Abundance (%)	BPVAL240223.sorted Relative Abundance (%)	BPVAL240224.sorted Relative Abundance (%)	BPVAL240225.sorted Relative Abundance (%)	BPVAL250101.sorted Relative Abundance (%)	BPVAL250102.sorted Relative Abundance (%)	BPVAL250103.sorted Relative Abundance (%)	BPVAL250104.sorted Relative Abundance (%)	BPVAL250105.sorted Relative Abundance (%)	BPZEB240707M.sorted Relative Abundance (%)	BPZEB240709M.sorted Relative Abundance (%)	BPZEB240711M.sorted Relative Abundance (%)	BPZEB240712M.sorted Relative Abundance (%)	BPZEB240717M.sorted Relative Abundance (%)	BPZEB250701.sorted Relative Abundance (%)	BPZEB250702.sorted Relative Abundance (%)	BPZEB250703.sorted Relative Abundance (%)	BPZEB250704.sorted Relative Abundance (%)	BPZEB250705.sorted Relative Abundance (%)
BPDON240903.MAGScoT_cleanbin_000001	0	0	0.35280782	0	0	0.461416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	12.406391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0.23731762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99286467	0	0	0	0	0
BPART241017M.MAGScoT_cleanbin_000002	0	0	0.4088998	0	0	4.367372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10408128	0	NaN	0	0	0	0	0	0	0	0	0	0	0.62116283	0.23223257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0.11449757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37617886	0	0	0	0	0
BPKAR250403.MAGScoT_cleanbin_000002	1.7630408	9.7986965	1.852418	4.571936	3.642849	3.76509	5.5601716	7.885593	2.842854	10.162788	4.143132	10.459793	6.209768	4.3106904	0.7234879	0.91870975	2.5702453	2.3407156	2.547832	1.5617719	1.6815106	0	NaN	0	10.277378	5.409187	1.3031762	0	0	4.994189	3.2250776	0	4.807293	6.061024	6.649403	1.5241838	1.6040734	4.002439	1.2476023	5.02311	5.7371874	5.135966	2.6889234	0	4.156771	0	0	2.3529928	0	1.4463526	3.383674	2.6591587	0	NaN	0	0	2.6497462	0.78874713	3.4185972	0	0	9.529077	5.700909	1.9765258	1.6528972	3.071511	2.3490732	1.5718136	2.9360673	0.79782593	11.844017	6.0399356	0.6785615	4.0802536	2.879318	2.4359643	0	2.1952596	0	2.0536828	0	4.7518525	3.949407	4.9682527	0	3.8430014	1.168571	2.6719375	1.1640497	4.05989	5.584074	7.4282117	2.9196599
BPATZ251101.MAGScoT_cleanbin_000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.3978305	0	0	0.8766369	0	0	NaN	0	0	0	0.8842361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.050366	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BPVAL250102.MAGScoT_cleanbin_000002	0	0	1.0353363	0	0.52755475	0	0.44835097	0.49857384	0.5426205	0.43799427	0.75304246	0.7234375	0.53166234	0.88011926	0.26468524	0.806296	0.8988886	0.768067	0.54679537	0.72786784	0.6448589	0	NaN	0	0	0.75938463	0.9720704	0.92055535	0	0	0.63541955	0.7682219	0	0.67351806	0	0	0.989314	0.513865	0.82854444	0	0.67980564	0.23086233	0.84537643	0.764084	0.59873116	0	0	0.6769665	0	0.76602775	0.5479475	1.101403	0	NaN	0	1.0398599	0.91243887	0.5307905	0	0	1.1007452	0	0	0	0	0.5775805	0.92860943	0.71615916	0.57574123	0.6247964	0.73855686	0	0.19779567	0	1.1072762	1.2513214	0	0.558748	0	4.8687086	0	0.6201603	3.9524117	0	0	0	0.5306831	0.97193706	0.54559684	0	1.137665	0.73290455	0.9588494
BPDON250905.MAGScoT_cleanbin_000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8807926	0	0	0	0	0	0	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BPVAL250105.MAGScoT_cleanbin_000001	0.42060345	2.5322006	1.571866	1.6241341	0.86216867	2.0118365	2.3046465	2.357449	3.4665663	2.3748403	3.0411544	0.9445167	2.102141	0.9717391	5.69154	4.3280377	3.7975986	4.164697	4.406351	2.9785318	2.8974462	0	NaN	0	0.7744533	1.7376692	1.4916986	2.6807423	0	0	3.194325	3.3665197	0	1.2810764	0	0	1.5424628	3.2945733	3.0566096	0	1.8965904	0.07655706	1.2573798	2.0390956	2.0104523	0	0	2.3841572	4.2113643	3.0554423	4.0920625	3.750912	2.576516	NaN	1.2288244	0.96381205	1.5022119	4.6473455	0	0	1.6155522	0	0	2.0352764	4.219911	3.3735542	2.9792573	2.3781087	3.902445	4.8964214	3.2651875	0	1.0556084	1.6225863	4.2958126	2.317533	0	2.3049772	0.29742402	8.142635	1.3175718	3.3786614	16.153276	1.9979416	2.6517658	0	1.1443834	0	3.979668	0.3322556	0.9532422	2.066996	2.466405
BPVAL250105.MAGScoT_cleanbin_000004	0	0	0	0	0.37169296	0.14858454	0	0.31239915	0.42142335	0.27533236	0	0.8695404	0.47175467	0	0	0	0.43866023	0	0.33231455	0	0	0	NaN	0	0.53142124	0.5343367	0	0	0	0	0	0	0.55737346	0.74457645	0	0.9761411	0.568512	0	0.48252028	0	0	0.15404765	0	0	0	0	0	0	0	0.41912773	0.310795	0.46624312	0	NaN	0	0.77187437	0.6269691	0	0	0	0	0	0	0	0.220217	0	0	0	0	0	0.5920879	0	0	0	0	0	0	0.2724475	0.38830924	0.2883758	0.5214478	0	1.3822176	0.4434569	0	0	0	0.8081317	0	0.9991271	0	0.6932658	0
BPGAS250902.MAGScoT_cleanbin_000002	1.6510557	7.5713525	15.842564	4.7114043	5.6056795	0.932355	5.2249155	4.1066804	7.1647935	5.0163865	10.554347	6.6659737	5.016026	10.434323	2.4206839	11.853151	10.605327	5.871199	6.600619	8.3433895	7.8618383	0	NaN	4.4758105	3.3941438	7.174092	8.776541	11.797086	0	3.1475053	7.6160083	10.725565	3.5707667	7.049589	2.8846095	2.1991403	13.065437	5.3799863	9.396986	5.1854434	8.835764	1.5690938	7.8514047	8.605918	9.052418	5.899188	1.5448403	7.277497	24.477148	9.905576	6.4530497	11.773836	1.4602067	NaN	1.4563453	17.527004	10.230185	21.585672	2.1756217	7.2889657	10.064176	2.4201536	2.7089176	3.397816	2.497456	8.219398	13.091912	9.757603	8.9648905	7.1567745	9.740233	14.339622	3.1062484	7.7297	14.15202	15.82904	3.0910385	4.1627736	2.6647604	0	6.5526586	5.256171	0.5701257	2.0590582	4.8712225	11.750962	5.9351783	8.807196	7.64475	7.0140295	13.786013	8.264106	12.039813
BPBIL240818M.MAGScoT_cleanbin_000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19962479	0	0	0	0	0	0	NaN	0	4.7017903	0	0	0	0	0	0	0	0	0	0	0	0.08137673	0	0	0	0	0.437776	0	0	0	0	0	0	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3453395	0	0.63078904	0	0	0	0	0	0.26605996	0	0	0	0
BPDON250905.MAGScoT_cleanbin_000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5362005	0	0	0	0	0	0	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
